beta_0,beta_1,sigma,log_lik
-0.3220488,1.0330658,0.38456634,-3.7621071
-0.3220488,1.0330658,0.38456634,-3.7621071
-0.3220488,1.0330658,0.38456634,-3.7621071
-0.27370485,1.0317269,0.35954494,-4.2039988
-0.27370485,1.0317269,0.35954494,-4.2039988
-0.47554416,1.0182225,0.41417772,-3.6036259
0.32983054,0.79977471,0.47937426,-3.6095036
0.88211774,0.76225759,0.80218792,-4.2365546
0.83306183,0.64188522,0.88832134,-4.231128
-1.7645877,1.3869903,0.45813894,-3.9810707
0.79070233,0.77210896,0.75523327,-4.0366551
0.79070233,0.77210896,0.75523327,-4.0366551
0.70990885,0.65549305,0.74299886,-4.0155196
-0.5278198,1.0227537,0.45922176,-3.4642566
-1.3202296,1.2205912,0.54647563,-3.6927912
0.18102967,0.90122172,0.70791711,-3.5553287
-1.084167,1.3435251,0.84569894,-4.3650261
-1.4588507,1.2171152,0.80031391,-4.2352911
-1.2902459,1.2240014,0.74078704,-3.7290226
-0.38094894,1.0398689,0.5690888,-3.1739339
0.35628394,0.78523754,0.70933237,-3.6500625
2.0656427,0.50777661,1.1043401,-5.5590887
1.6709155,0.20319496,1.7111661,-6.7610408
0.89157408,0.67403779,0.77135172,-3.9164688
3.6336112,-0.13571353,1.6328291,-6.5192363
-1.1152944,1.1040429,0.89033669,-4.4566161
0.41996267,0.60282955,1.5187181,-6.085005
1.2642355,0.85720244,1.4230202,-6.5107685
1.4059277,0.71525095,1.3145324,-5.7757069
2.4024128,0.1021347,0.85682999,-5.8533021
-3.5540035,1.8958815,0.69018891,-5.2417989
-3.2852511,1.8016611,1.9304465,-6.6595421
-2.4478931,1.6100435,1.2456632,-5.150174
-1.0679403,0.91026924,1.5627742,-6.6665893
-3.7825843,1.8222019,1.5031752,-6.2285009
-0.12610626,1.0955675,0.77319143,-4.4206354
-1.0425687,1.127656,0.82530559,-4.0133351
-3.4072744,1.7376695,0.91856517,-5.3950936
-3.1786826,1.7084125,0.90370917,-5.031101
-3.2722062,1.6490874,0.92293638,-5.7547087
-3.4117778,2.1426861,1.7225998,-6.9909752
-2.1872775,1.3682122,0.62890146,-5.451013
1.8693535,0.63143028,1.182652,-6.0455721
0.86011421,0.23411489,1.449921,-7.9676855
-2.7839874,1.3775907,1.0115601,-7.1181465
-2.6737207,1.3846339,1.0308557,-6.5075832
-2.1468627,1.568481,0.99666191,-4.5625636
-0.73395404,1.2309923,1.0628737,-4.6742967
-1.1098595,1.2806201,1.256956,-5.0112021
-1.3302644,1.3371921,0.82137625,-3.9022643
-0.29338171,1.0738667,0.36850788,-4.787192
-1.5746005,1.3075603,0.75373195,-3.81921
0.9243251,0.60169083,0.62269274,-4.0567203
1.900076,0.32759028,0.61140139,-5.119572
-2.6625239,1.532832,0.61817419,-5.3483997
0.044970623,0.82222278,1.199782,-4.9524689
-2.0949926,1.6070435,1.6930136,-6.1646762
-2.6554361,1.5632451,0.71084284,-4.6854538
-2.1641216,1.6414537,0.89410387,-4.7409965
-2.0112124,1.5257755,0.5551274,-4.0429614
-2.2581275,1.5146196,0.5150033,-4.3080706
-1.8657376,1.5842463,1.1589424,-5.2290692
-1.4695485,1.2911651,0.87594344,-4.0291739
0.22624848,0.83693557,0.68960055,-3.5181421
1.1417381,0.57739329,0.77602829,-4.0921033
-1.3708843,1.4447036,0.69821475,-4.6237962
-0.63431677,1.1414503,0.57263999,-3.3135616
-2.6206426,1.6964542,0.81847197,-4.4557807
-1.4198376,1.2746507,0.74589895,-3.7147255
-0.49895361,1.1609554,0.57473085,-3.9434361
-0.6818523,1.0697274,0.54509605,-3.2813236
2.4175741,0.26593927,1.3280173,-5.613644
-0.58917033,1.2508724,1.8196154,-6.450713
-0.80840275,1.2346949,1.6717227,-6.0077174
0.16673022,0.77254512,1.7134753,-6.1305326
1.479214,0.58831449,2.0452466,-6.798509
1.3238228,0.65266208,1.4583884,-5.7126953
5.510849,-0.49440838,1.1433228,-7.5607747
4.1039057,-0.1800676,1.0303696,-6.3232724
3.5227048,-0.14361633,1.5065568,-6.37923
-0.89243437,1.225209,0.82569767,-3.8732341
-0.17651465,0.90225441,0.58193072,-3.5566344
0.054945006,0.91745571,0.43704369,-3.4960299
0.054945006,0.91745571,0.43704369,-3.4960299
0.78462828,0.82229566,0.56122842,-4.7546259
-0.19193506,1.0799745,0.55998752,-4.0645937
-0.76704085,0.99187705,0.59622342,-4.6176595
